"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-14.6273740845734,0,0.521,0,"SLPI"
0,-11.5336943367623,0.002,0.727,0,"FXYD4"
0,-8.07588963906824,0.009,0.772,0,"LINGO1"
0,-7.79271444832886,0.008,0.501,0,"CAPN8"
0,-7.45244993180361,0.008,0.582,0,"SLC26A3"
0,-7.42365251994125,0.006,0.529,0,"ZBTB16"
0,-7.01474636354557,0.051,0.883,0,"AC016831.7"
0,-7.00523436033949,0.036,0.608,0,"LINC01924"
0,-6.28787842802033,0.063,0.698,0,"PDK4"
0,-5.86865965933468,0.086,0.679,0,"PAPPA"
0,-5.28579960118312,0.058,0.541,0,"TACSTD2"
0,-5.14791195361656,0.229,0.746,0,"S100A6"
0,-5.10134126020112,0.23,0.852,0,"AQP2"
0,-4.99485636949897,0.058,0.559,0,"AQP3"
0,-4.92569138863254,0.061,0.52,0,"AKR1B1"
0,-4.79457058947879,0.08,0.76,0,"FYB2"
0,-4.76291677658475,0.079,0.58,0,"COL4A4"
0,-4.72002548152662,0.046,0.512,0,"ARG2"
0,-4.63690406841796,0.098,0.608,0,"COL4A3"
0,-4.34730931515504,0.126,0.618,0,"LINC02532"
0,-4.15162382486467,0.245,0.819,0,"ATP1A1"
0,-4.06612336627492,0.168,0.577,0,"S100A11"
0,-3.9952825459323,0.076,0.587,0,"TACC1"
0,-3.91340870566407,0.157,0.584,0,"SLC45A4"
0,-3.87719687256486,0.564,0.957,0,"NEAT1"
0,-3.79387911027684,0.077,0.513,0,"C3orf52"
0,-3.56755010755016,0.124,0.533,0,"KITLG"
0,-3.45143833229596,0.183,0.609,0,"B2M"
0,-3.43677604504307,0.142,0.634,0,"SCN2A"
0,-3.43134045144683,0.301,0.741,0,"ST6GAL1"
6.43383736024191e-309,-3.41601519137273,0.346,0.626,1.6940937153253e-304,"CLU"
0,-3.34208918064884,0.369,0.831,0,"ABTB2"
0,-3.32316059971633,0.165,0.664,0,"PDE4DIP"
0,-3.28192006985567,0.13,0.548,0,"AC104035.1"
0,-3.27143258431401,0.204,0.66,0,"PLCL2"
0,-3.26961208227297,0.363,0.815,0,"KSR2"
0,-3.23733364996416,0.59,0.918,0,"AC019197.1"
0,-3.19439346737905,0.786,0.935,0,"PDE4D"
0,-2.93408487177538,0.285,0.672,0,"CD9"
1.30701979449884e-285,-2.88133390949135,0.156,0.503,3.44151382089491e-281,"UBC"
0,-2.87835820765028,0.258,0.669,0,"MRPS6"
0,-2.85018161320136,0.231,0.705,0,"MIR29B2CHG"
0,-2.82349489623806,0.165,0.599,0,"LDLRAD4"
3.66171812758781e-319,-2.80694112886088,0.177,0.544,9.64167000175147e-315,"APOO"
0,-2.75853912623923,0.488,0.885,0,"ATP1B1"
0,-2.72860612859821,0.313,0.748,0,"HIP1"
6.56968847483315e-270,-2.60977097735793,0.185,0.518,1.72986467230832e-265,"PEBP1"
0,-2.60594698271167,0.535,0.866,0,"THSD7A"
0,-2.59742152581779,0.182,0.621,0,"HSD17B12"
1.99285578006292e-193,-2.58837736884809,0.519,0.66,5.24738855448368e-189,"TMSB4X"
2.51909434134435e-301,-2.57823730700369,0.159,0.515,6.63302731019381e-297,"FAM20C"
0,-2.53876786672064,0.209,0.577,0,"NEK10"
0,-2.52895384736316,0.244,0.675,0,"VAV3"
0,-2.51052965728604,0.27,0.638,0,"PLEKHA2"
0,-2.51031024932552,0.213,0.652,0,"SCNN1A"
0,-2.49288655965724,0.265,0.666,0,"FAM20A"
0,-2.49201718516605,0.509,0.834,0,"FAM107B"
4.30841123504515e-281,-2.48698541119194,0.17,0.511,1.13444776229974e-276,"ST7"
1.55500996712399e-210,-2.44517460453263,0.323,0.569,4.09449674443419e-206,"GSTP1"
0,-2.43740849387608,0.217,0.592,0,"TACC2"
0,-2.4228775078289,0.544,0.865,0,"SOX5"
8.57059877199718e-224,-2.40855645465715,0.212,0.503,2.25672436265458e-219,"CALM1"
0,-2.37206153677033,0.198,0.622,0,"LINC00623"
3.09111536037702e-246,-2.37091104728585,0.274,0.567,8.13921585540872e-242,"KLHL8"
1.74803421180965e-257,-2.36731985883356,0.286,0.58,4.60274888311598e-253,"TGFBR1"
0,-2.34804419229805,0.419,0.834,0,"PFKFB3"
1.9290554903417e-315,-2.3476018252304,0.222,0.583,5.07939601161874e-311,"RHEX"
3.48842489866418e-303,-2.34399050100636,0.273,0.601,9.18537160067264e-299,"GREB1L"
4.10446724987124e-316,-2.3351326504286,0.196,0.565,1.0807472715636e-311,"LPIN2"
5.71119522697137e-302,-2.32088250115262,0.374,0.656,1.50381481521383e-297,"CD24"
4.94065645841247e-323,-2.32056350767708,0.229,0.595,1.30092425206459e-318,"CDKL1"
0,-2.31432432899493,0.558,0.852,0,"PDE1A"
2.42691949470269e-265,-2.30566646818983,0.253,0.559,6.39032172150166e-261,"TGFBR3"
0,-2.2606880578073,0.553,0.757,0,"ITM2B"
0,-2.25540807701475,0.273,0.723,0,"RASGEF1B"
0,-2.23793255184167,0.47,0.8,0,"KCNJ16"
2.10888436419286e-288,-2.2377376112111,0.231,0.566,5.55290341935621e-284,"RASAL1"
1.23221099595978e-255,-2.20001408803372,0.25,0.567,3.2445347734617e-251,"SGPP1"
6.77385384568211e-267,-2.17554667756587,0.275,0.584,1.78362345610656e-262,"CDH16"
2.09839699647014e-307,-2.16337937928139,0.241,0.588,5.52528913140554e-303,"AFMID"
5.11110363395587e-248,-2.15893978292585,0.185,0.509,1.34580469785692e-243,"ELL2"
5.91716258572961e-300,-2.1582330216205,0.227,0.576,1.55804808044846e-295,"ITPK1"
0,-2.14080255778172,0.366,0.697,0,"SLC25A29"
0,-2.13712475276302,0.819,0.934,0,"RBPMS"
