"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,14.0140162893861,0.579,0,0,"FNIP1"
0,11.511802292761,0.654,0,0,"UBE2W"
0,10.9560996230344,0.73,0.001,0,"ANKHD1"
0,10.7274375968828,0.515,0,0,"ZNF626"
0,10.0882549578145,0.506,0.001,0,"RPL17"
0,9.8945857868415,0.544,0.001,0,"TVP23C"
0,9.62914145717345,0.693,0.002,0,"TMEM14B"
0,8.5622010119792,0.581,0.003,0,"MTAP"
0,7.64708376102981,0.52,0.005,0,"ATF7"
0,7.45927572837283,0.506,0.005,0,"FIP1L1"
0,7.22886786064285,0.56,0.007,0,"RAD50"
0,7.13291348196845,0.629,0.01,0,"TJP2"
0,7.11208119011519,0.83,0.021,0,"HMGA2"
0,7.08475803291752,0.828,0.017,0,"RABGEF1"
0,6.65661376247005,0.644,0.014,0,"SPECC1L"
0,6.64144387957774,0.754,0.017,0,"BCAT1"
0,6.55061215259663,0.838,0.029,0,"ADGRL3"
0,6.43352793107414,0.532,0.012,0,"MMP16"
0,6.42485040933609,0.779,0.023,0,"ARHGAP8"
0,6.35920096611723,0.532,0.013,0,"SEMA3D"
0,6.3543224458681,0.562,0.012,0,"STX16"
0,6.31030510836465,0.536,0.011,0,"FLRT2"
0,6.28468377083367,0.56,0.009,0,"BCL11A"
0,6.17169298483916,0.624,0.015,0,"RAPGEF6"
0,6.09082798876345,0.582,0.016,0,"CALM2"
0,6.08609402861881,0.793,0.034,0,"IGF2BP3"
0,5.97861910241301,0.796,0.066,0,"UNC5D"
0,5.86469157569161,0.677,0.021,0,"EMID1"
0,5.26759439314133,0.621,0.026,0,"LINC00645"
0,5.24516596027235,0.623,0.032,0,"ASB3"
0,5.22430710143871,0.647,0.038,0,"PRH1"
0,5.1731381961608,0.953,0.078,0,"SLIT2"
0,5.11157696321163,0.574,0.047,0,"NKAIN2"
0,4.81972702976412,0.533,0.08,0,"CSMD1"
0,4.7541502518005,0.541,0.042,0,"GCNT4"
0,4.65368888689795,0.568,0.044,0,"DOK6"
0,4.65192631991773,0.865,0.131,0,"CNTN5"
0,4.60685215997001,0.658,0.078,0,"SNTG1"
0,4.5873934448982,0.503,0.045,0,"PDE4B"
0,4.5326080939749,0.745,0.109,0,"CACNB4"
0,4.43945070169612,0.671,0.078,0,"CDH4"
0,4.41824137658644,0.507,0.043,0,"DISP1"
0,4.41353159569904,0.733,0.07,0,"NCALD"
0,4.28057461270645,0.522,0.047,0,"ZNF10"
0,4.04389281487118,0.55,0.044,0,"KIRREL1"
0,4.03786556700939,0.621,0.074,0,"UNC5C"
0,3.98961556890636,0.93,0.249,0,"LINC00472"
0,3.95753860480817,0.961,0.155,0,"DACH1"
0,3.9011001350132,0.542,0.057,0,"GPC3"
0,3.87411665745402,0.77,0.156,0,"FMN1"
0,3.72054045583239,0.529,0.093,0,"XACT"
0,3.69309795071176,0.536,0.085,0,"PALM2-AKAP2"
0,3.66076352217796,0.59,0.078,0,"EDIL3"
0,3.63057144224459,0.683,0.112,0,"CSNK1G1"
0,3.6303384956982,0.649,0.083,0,"PLAGL1"
0,3.57118079503337,0.741,0.132,0,"LUC7L2"
0,3.33158350654161,0.926,0.261,0,"CNTN4"
0,3.27502396610412,0.817,0.178,0,"HIF3A"
0,3.21908295681865,0.774,0.197,0,"MFSD4B"
0,3.17912139323904,0.759,0.211,0,"LINC01473"
0,3.13901320926984,0.793,0.175,0,"GPC6"
0,3.09006304612436,0.528,0.12,0,"H3F3A"
0,3.04493574725491,0.509,0.081,0,"GRIN2B"
0,3.03026292076237,0.774,0.234,0,"SGK2"
0,3.00717662378146,0.588,0.144,0,"LRRC4C"
0,2.942705605458,0.67,0.136,0,"CECR2"
