gene_name	WP3_D12_1	WP3_D12_2	WP3_D16_1	WP3_D16_2	PKD_10_D12_1	PKD_10_D12_2	PKD_10_D16_1	PKD_10_D16_2	PKD_11_D12_1	PKD_11_D12_2	PKD_11_D16_1	PKD_11_D16_2
TSPAN6	4745.04	4904.14	4165.36	5008.27	4919.42	5075.73	3840.73	3572.01	4203.84	4412.07	3403.63	3239.52
DPM1	820.588	671.062	928.578	852.008	695.584	846.422	765.123	856.849	731.927	725.892	694.138	774.393
SCYL3	583.397	519.735	512.515	647.905	630.34	559.235	699.188	710.589	567.814	599.491	659.899	639.992
C1orf112	495.153	434.617	329.029	308.138	197.78	211.233	146.253	144.328	229.769	230.585	135.559	140.073
CFH	560.646	560.555	223.625	448.534	303.311	376.366	101.042	97.8251	237.238	283.732	209.057	171.09
FUCA2	1293.72	1347.89	1562.94	1561.39	1374.6	1182.55	1461.17	1669.93	1189.61	1105.41	1372.65	1272.15
GCLC	1107.85	985.494	1530.08	1465.42	1074.71	1146.16	1079.89	1189.13	1141.04	1134.94	1062.6	1128.57
NFYA	1983.67	1924.17	1341.76	1391.24	2306.62	2341.76	1473.32	1328.54	2464.35	2569.18	1336.83	1307.47
STPG1	341.304	395.978	360.156	393.441	326.727	352.264	340.759	280.665	371.792	340.662	350.621	391.787
NIPAL3	1484.8	1415.96	1858.43	2018.55	1482.59	1242.45	2335.62	2607.25	1566.85	1442.54	2471.02	2084.11
LAS1L	953.432	1034.44	843.896	779.279	645.235	645.527	583.165	527.169	680.733	718.971	647.577	632.707
ENPP4	1171.99	1242.44	1188.75	1435.96	928.809	847.689	1261.7	1452.25	851.581	899.861	1415.6	1195.24
SEMA3F	2072.36	2209.01	1301.74	1350.43	1911.03	1793.42	1560.73	1335.92	1588.09	1576.61	1593.3	1560.13
CFTR	45.9294	50.0534	117.698	119.743	56.5094	72.0145	107.295	45.2386	51.3427	47.7477	46.511	88.883
ANKIB1	2221.23	2443.71	2579.95	2531.68	2728.9	2586.46	2448.91	2603.55	2692.86	2728.04	2473.44	2422.06
CYP51A1	4813.48	4549.07	5136.99	4600.01	2910.6	3246.93	2698.1	3009.83	2878.14	3062.9	2395.09	2218.26
KRIT1	947.721	877.787	754.968	793.317	921.997	860.182	734.133	948.881	1012.5	884.703	940.014	924.393
RAD52	406.238	404.786	263.644	250.89	396.593	399.117	322.877	355.696	393.037	499.515	397.133	380.395
BAD	338.886	317.707	366.022	417.895	315.425	381.696	388.362	346.12	367.087	355.179	330.082	367.023
LAP3	1624.16	1579.47	1508.89	1481.58	1253.48	1239.01	1314.36	1190.06	1285.34	1177.16	1091.22	1063.08
CD99	410.592	438.245	646.165	636.727	392.997	382.631	456.002	449.155	364.267	405.397	497.311	554.349
HS3ST1	194.804	218.01	313.078	318.364	225.01	209.102	460.969	597.335	255.828	250.676	572.444	388.278
AOC1	4279.35	4277.85	2810.64	3874.62	8916.73	7665.18	11170.5	14255.5	8245.93	7161.95	11953.4	8813.12
MAD1L1	372.374	367.033	367.187	358.272	335.883	337.27	378.471	391.382	346.11	298.464	342.874	327.821
LASP1	8630.19	8826.38	12191.3	11320.8	6812.62	7353.02	8593.78	8486.28	8259.69	7719.89	8675.74	8534.46
SNX11	585.996	623.999	500.218	498.93	590.781	648.13	517.597	477.314	643.555	636.331	536.665	588.265
TMEM176A	546.401	549.474	469.617	746.017	1554.52	1369.14	1764.41	1984.95	1463.27	1338.77	1776.96	1772.98
M6PR	4016.14	3984.48	4158.87	4179.5	3996.23	4135.96	3892.87	4445.05	3899.68	4124.54	3380.49	3376.68
KLHL13	1237.73	1174.58	562.596	512.235	2038.46	2019.89	1115.67	664.73	1477.43	1295.61	747.755	680.658
CYP26B1	675.481	640.683	9.41587	15.2054	1777.48	1454.19	53.6473	49.8548	1558.9	1093.61	65.5925	42.1025
ICA1	903.544	874.266	980.426	999.759	801.406	872.85	980.554	935.239	816.173	782.329	940.955	935.611
DBNDD1	144.915	165.732	348.387	256.592	422.278	423.411	378.513	387.759	347.891	341.58	256.407	267.819
ALS2	1765.91	1658.43	1674.85	1636.49	2038.45	2078.88	1707.77	1732.92	2180.29	2285.46	1734.03	1727.37
CASP10	617.67	714.094	450.785	678.543	614.411	646.395	354.668	349.907	496.608	476.56	407.866	432.72
CFLAR	2745.8	2636.83	3248.48	3707.91	2914.53	3208.91	2596.92	3010.68	3686.94	3725.02	3658.4	3405.47
TFPI	262.906	265.839	298.954	294.606	1082.93	1062.86	796.759	533.63	875.485	839.258	868.204	647.911
NDUFAF7	262.223	347.127	333.086	311.767	336.116	339.38	304.995	320.381	332.843	360.93	349.723	276.094
RBM5	2574.54	2711.81	2546.74	2642.79	3022.97	3026.45	3180.36	3193.06	2995.89	3100.45	3317.75	3655.97
MTMR7	232.419	213.481	204.194	193.009	375.267	342.183	278.144	308.225	363.631	370.723	343.895	277.54
SLC7A2	5346.53	5284.51	4625.64	6677.98	9688.13	8808.68	7281.22	9752.92	9121.9	8793.46	8396.16	8086.83
ARF5	1471.33	1440.42	1353.52	1440.7	1464.07	1574.79	1442.52	1240.82	1309.24	1418.63	1335.7	1374.18
